ID,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Gender,Age,User_Age_Group
155,298121,0,5,1,1,60808,20,500,1,7640,Female,28,Young
156,87474,0,1,1,1,4581,15,0,0,7634,Female,43,Adult
157,48707,0,4,1,1,37655,14,0,0,7631,Male,68,Senior
158,220081,0,4,1,1,52574,21,500,1,7626,Male,41,Adult
159,212976,0,3,1,1,19926,12,0,0,7624,Male,64,Senior
160,44182,0,3,1,1,12313,12,0,0,7619,Female,28,Young
161,228829,0,5,1,1,59852,21,0,0,7612,Female,46,Adult
162,46823,0,1,1,1,5860,12,0,0,7613,Male,24,Young
163,69110,0,3,1,1,18500,19,0,0,7598,Male,74,Senior
164,120700,0,5,1,1,55323,17,1500,1,7598,Male,72,Senior
165,152945,0,1,1,1,18604,6,3604,2,7598,Female,29,Young
166,10302,0,4,1,1,30298,19,0,0,7591,Male,45,Adult
167,80331,0,3,1,1,15489,18,0,0,7634,Male,19,Young
168,69882,0,1,1,1,180,6,0,0,7582,Male,46,Adult
169,95658,0,1,1,1,5269,18,0,0,7584,Male,59,Senior
170,402874,0,5,1,1,74800,15,0,0,7582,Male,43,Adult
171,370941,0,4,1,1,44615,16,0,0,7577,Male,64,Senior
172,21694,0,4,1,1,45230,20,700,2,7575,Male,61,Senior
173,71767,0,5,1,1,67335,13,0,0,7570,Male,18,Young
174,35820,0,1,1,1,0,0,0,0,7575,Female,63,Senior
175,352508,0,3,1,1,23740,6,1000,2,7563,Male,43,Adult
176,149285,0,1,1,1,15656,13,3250,6,7561,Female,67,Senior
177,120941,0,4,1,1,42301,21,0,0,7588,Female,25,Young
178,451673,0,4,1,1,43533,19,900,4,7575,Female,74,Senior
179,106961,0,1,1,1,7357,19,200,2,7572,Male,72,Senior
180,28086,1745,2,1,1,7368,12,0,0,7549,Male,72,Senior
181,60230,0,1,1,1,500,1,0,0,7544,Female,79,Senior
182,6663,0,1,1,1,1125,7,750,4,7575,Male,43,Adult
183,48145,0,1,1,1,10735,27,0,0,7540,Male,48,Adult
184,127807,0,3,1,1,17086,16,1500,3,7537,Female,62,Senior
186,32948,0,1,1,1,50,1,50,1,7569,Male,22,Young
187,8933,0,2,1,1,8860,14,0,0,7533,Male,36,Adult
188,49885,0,3,1,1,23640,17,0,0,7533,Female,35,Adult
189,89999,0,3,1,1,11694,13,0,0,7530,Female,71,Senior
190,707079,0,4,1,1,57173,40,3450,12,7523,Female,19,Young
191,211595,0,1,1,1,3250,8,0,0,7521,Male,58,Senior
192,410795,0,5,1,1,73679,31,0,0,7514,Female,41,Adult
193,72173,0,1,1,1,2954,13,232,1,7509,Female,57,Senior
194,123516,0,5,1,1,240544,31,500,2,7507,Female,36,Adult
195,143080,733,4,1,1,44373,38,3928,17,7575,Male,28,Young
196,386061,0,5,1,1,107813,24,0,0,7500,Female,31,Adult
197,52738,2398,1,1,1,0,0,0,0,7498,Female,31,Adult
198,24523,0,1,1,1,100,1,0,0,7493,Female,77,Senior
199,134601,0,1,1,1,0,0,0,0,7493,Male,36,Adult
200,32742,0,5,1,1,61857,26,0,0,7488,Male,21,Young
201,108341,0,3,1,1,19670,21,0,0,7488,Female,37,Adult
202,8669,0,1,3,1,11397,16,0,0,7486,Male,21,Young
203,118940,0,4,1,1,36001,17,150,1,7484,Female,18,Young
204,41385,0,4,1,1,26948,14,0,0,7481,Female,78,Senior
205,28621,0,2,1,1,13878,20,1400,10,7479,Male,71,Senior
206,16230,0,1,1,1,486,2,0,0,7477,Male,28,Young
207,152881,0,5,1,1,79687,18,500,1,7474,Male,50,Adult
208,37348,0,1,1,1,0,0,0,0,7472,Female,23,Young
209,51468,0,1,1,1,2278,9,0,0,7460,Male,22,Young
210,95989,0,5,1,1,92159,30,1329,4,7518,Male,71,Senior
211,23184,1250,1,1,1,3694,12,1150,3,7467,Male,68,Senior
212,27381,0,3,1,1,18009,18,0,0,7524,Female,64,Senior
213,6854,0,1,1,1,0,0,0,0,7467,Male,51,Senior
214,201346,0,5,1,1,99612,34,600,4,7463,Male,36,Adult
215,31588,0,1,1,1,2947,8,0,0,7463,Female,20,Young
216,204582,0,1,1,1,4671,14,0,0,7498,Male,68,Senior
217,8298,0,3,1,1,20087,15,0,0,7498,Female,19,Young
218,10097,0,1,1,1,2700,1,2700,1,7498,Female,41,Adult
219,114356,0,4,1,1,27308,14,0,0,7456,Male,21,Young
220,1344,0,1,1,1,1134,9,0,0,7498,Female,78,Senior
221,59797,0,1,1,1,7069,4,0,0,7444,Male,62,Senior
222,189053,0,3,1,1,24156,22,0,0,7439,Female,25,Young
223,143481,0,4,1,1,45891,15,0,0,7437,Male,72,Senior
224,1302051,2706,5,1,1,90653,32,3050,7,7467,Male,46,Adult
225,229744,0,5,1,1,68754,35,550,2,7467,Male,62,Senior
226,75039,0,1,1,1,2750,10,250,1,7435,Male,41,Adult
227,20203,0,1,1,1,750,6,0,0,7467,Female,30,Young
228,193976,0,3,1,1,10849,14,0,0,7416,Female,19,Young
229,98224,0,2,1,1,5570,11,0,0,7467,Male,58,Senior
230,117329,0,1,2,1,6448,11,0,0,7416,Female,21,Young
231,119239,0,4,1,1,36362,15,250,1,7467,Female,50,Adult
232,53715,0,2,1,1,7164,15,300,2,7416,Male,73,Senior
233,153747,0,5,1,1,58689,15,0,0,7409,Female,39,Adult
234,133309,0,3,1,1,23987,13,0,0,7415,Male,21,Young
235,81380,0,5,1,1,56524,22,0,0,7404,Female,57,Senior
236,22074,0,1,1,1,6039,15,0,0,7404,Female,30,Young
237,24051,0,2,1,1,8764,13,0,0,7395,Female,19,Young
238,11449,0,2,1,1,9057,13,0,0,7397,Female,36,Adult
239,182317,0,2,1,1,19489,17,273,1,7397,Female,42,Adult
240,46184,0,1,1,1,3125,12,500,1,7388,Female,42,Adult
241,285116,0,1,1,1,8471,18,500,1,7406,Male,76,Senior
242,30962,0,5,1,1,97683,37,6400,18,7360,Male,77,Senior
243,15525,0,1,1,1,3853,6,0,0,7406,Male,30,Young
244,163530,0,5,1,1,88987,25,0,0,7406,Female,51,Senior
245,2075,0,2,1,1,5002,14,0,0,7374,Male,43,Adult
246,227881,0,4,1,1,41186,13,0,0,7369,Male,33,Adult
247,118934,0,5,1,1,66222,37,2250,17,7354,Female,37,Adult
248,468175,0,5,1,1,141615,22,0,0,7348,Female,42,Adult
249,12526,0,4,1,1,56076,19,3850,11,7375,Female,40,Adult
250,176090,0,1,1,1,5300,9,2200,6,7344,Female,74,Senior
251,15221,0,1,1,1,4425,9,0,0,7361,Male,71,Senior
252,92875,0,5,1,1,60990,14,0,0,7344,Male,27,Young
253,88702,0,2,1,1,9620,13,50,1,7406,Male,44,Adult
254,62882,0,1,1,1,1925,8,0,0,7375,Male,73,Senior
255,30015,0,1,1,1,5875,32,0,0,7341,Male,55,Senior
256,87293,0,3,1,1,21584,17,1050,2,7406,Female,53,Senior
257,45225,0,3,1,1,14711,15,0,0,7339,Male,42,Adult
258,96098,0,1,1,1,12500,4,0,0,7339,Female,76,Senior
259,236274,0,5,1,1,61515,12,0,0,7375,Male,54,Senior
260,423540,0,1,1,1,8534,14,2100,9,7375,Female,61,Senior
261,25279,0,2,1,1,14938,26,0,0,7327,Female,43,Adult
262,198137,0,1,1,1,6303,6,500,1,7323,Female,51,Senior
263,402312,0,5,1,1,77122,18,250,3,7375,Female,22,Young
264,149733,0,1,1,1,605,3,500,1,7323,Female,48,Adult
265,70730,0,1,1,1,1319,12,0,0,7316,Female,44,Adult
266,164613,0,2,1,1,11095,13,0,0,7375,Male,51,Senior
267,47557,0,2,1,1,10267,18,200,3,7345,Female,18,Young
268,35065,0,1,1,1,5400,5,1400,3,7311,Female,21,Young
269,105769,0,3,1,1,23097,16,0,0,7345,Female,28,Young
270,35900,0,1,1,1,0,0,0,0,7304,Female,30,Young
271,43088,0,1,1,1,4000,1,0,0,7345,Female,24,Young
272,58703,0,4,1,1,46473,34,950,4,7296,Male,64,Senior
273,70354,0,5,1,1,120907,22,0,0,7290,Female,55,Senior
274,145726,0,3,1,1,19019,15,0,0,7292,Male,72,Senior
275,121639,0,5,1,1,67286,7,0,0,7288,Male,73,Senior
276,70676,0,5,1,1,74993,15,0,0,7288,Male,68,Senior
277,18263,0,1,1,1,2100,4,1000,2,7285,Female,40,Adult
278,51250,0,1,1,1,0,0,0,0,7283,Female,73,Senior
279,1704838,0,1,1,1,17108,32,4823,23,7283,Male,66,Senior
280,12895,0,1,1,1,0,0,0,0,7277,Female,64,Senior
281,120073,0,3,1,1,12423,29,0,0,7276,Male,54,Senior
282,2003,0,1,1,1,980,2,0,0,7274,Female,28,Young
283,22652,0,5,1,1,57642,14,0,0,7271,Male,40,Adult
284,168515,0,1,1,1,4600,4,0,0,7269,Female,41,Adult
285,44873,0,4,1,1,38740,18,850,2,7267,Female,65,Senior
286,190542,1745,1,1,1,8487,9,0,0,7267,Male,66,Senior
287,156230,0,1,1,1,5300,8,1300,5,7260,Male,72,Senior
288,79211,0,4,1,1,36776,14,0,0,7260,Male,31,Adult
289,98006,0,4,1,1,46349,20,2309,3,7332,Male,59,Senior
290,33982,0,5,1,1,68320,17,0,0,7255,Male,45,Adult
291,62998,0,2,1,1,11326,24,0,0,7253,Male,61,Senior
292,137908,0,5,1,1,57713,19,0,0,7250,Male,46,Adult
293,45586,0,4,1,1,37459,15,0,0,7246,Female,53,Senior
294,568174,0,5,1,1,67121,16,1000,2,7243,Male,34,Adult
295,145993,0,5,1,1,95082,17,500,1,7229,Male,50,Adult
296,294881,0,5,1,1,84800,20,0,0,7279,Male,37,Adult
297,12195,0,1,1,1,3875,17,0,0,7229,Female,70,Senior
298,16622,0,1,1,1,0,0,0,0,7229,Male,42,Adult
299,141813,0,4,1,1,39743,14,0,0,7254,Female,21,Young
300,58139,500,4,1,1,38408,16,150,1,7227,Male,36,Adult
301,238868,0,3,1,1,20521,16,0,0,7220,Male,69,Senior
302,149286,0,4,1,1,42141,30,2400,13,7222,Female,67,Senior
303,35945,0,1,1,1,0,0,0,0,7220,Male,63,Senior
304,28218,0,1,1,1,750,4,750,4,7232,Female,45,Adult
305,7061,0,1,1,1,7100,12,0,0,7218,Male,52,Senior
306,217846,0,4,1,1,49198,20,0,0,7215,Male,61,Senior
307,364387,0,4,1,1,28200,27,0,0,7213,Male,22,Young
308,125465,0,3,1,1,14750,9,0,0,7206,Male,36,Adult
309,94222,0,4,1,1,52081,24,0,0,7201,Female,31,Adult
310,123370,0,1,1,1,7478,16,0,0,7197,Female,46,Adult
311,383030,2998,1,1,1,8001,25,3226,15,7326,Male,62,Senior
312,112969,0,2,1,1,7572,7,0,0,7192,Female,58,Senior
313,46430,0,1,1,1,2100,4,500,1,7194,Male,20,Young
314,179433,0,4,1,1,30476,15,0,0,7187,Female,49,Adult
315,20746,0,4,1,1,37534,17,0,0,7185,Female,26,Young
316,61455,0,4,1,1,28765,17,0,0,7183,Male,33,Adult
317,714717,0,5,1,1,119162,20,1750,4,7183,Female,33,Adult
318,179559,0,3,1,1,17819,12,1000,2,7173,Male,62,Senior
319,119977,2556,1,1,1,9275,16,1400,4,7226,Female,46,Adult
320,16928,0,1,1,1,1000,1,0,0,7173,Female,28,Young
321,65316,0,1,1,1,3917,10,0,0,7254,Female,43,Adult
322,766419,0,1,1,1,11398,3,398,1,7162,Female,58,Senior
323,52060,0,1,1,1,6500,3,0,0,7162,Male,35,Adult
324,84700,0,3,1,1,13544,17,0,0,7162,Female,66,Senior
325,205523,0,3,1,1,32404,20,1000,2,7159,Female,28,Young
326,20457,0,4,1,1,51399,16,0,0,7193,Male,71,Senior
327,278727,0,1,1,1,21666,19,9166,16,7155,Male,68,Senior
328,50325,0,3,1,1,11930,14,0,0,7155,Male,54,Senior
329,455228,0,1,1,1,258,2,258,2,7141,Male,38,Adult
330,73849,0,2,1,1,11793,21,0,0,7250,Male,34,Adult
331,388455,0,5,1,1,114329,26,6078,8,7164,Female,40,Adult
332,138999,0,5,1,1,63738,29,600,4,7153,Male,29,Young
333,65573,0,1,1,1,3875,23,0,0,7130,Female,53,Senior
334,172288,0,5,1,1,66879,10,0,0,7130,Male,37,Adult
335,47958,0,1,1,1,0,0,0,0,7130,Female,64,Senior
337,133002,0,3,1,1,15672,21,150,1,7117,Male,62,Senior
338,42363,0,1,1,1,0,0,0,0,7120,Male,43,Adult
339,133370,0,4,1,1,44299,18,0,0,7101,Male,29,Young
340,278457,6727,4,1,1,57313,27,1000,2,7101,Male,72,Senior
341,105166,1374,4,1,1,37663,22,0,0,7120,Male,57,Senior
342,34956,0,1,1,1,0,0,0,0,7172,Male,50,Adult
343,46963,0,1,1,1,1500,5,0,0,7117,Female,60,Senior
344,55788,0,3,1,1,24831,12,0,0,7314,Female,39,Adult
345,174910,0,4,1,1,63960,20,200,1,7110,Female,61,Senior
346,13812,0,2,1,1,15149,39,0,0,7110,Male,49,Adult
347,38718,0,1,1,1,0,0,0,0,7314,Female,19,Young
348,112501,0,1,1,2,19140,11,0,0,7101,Female,43,Adult
349,54005,0,1,1,1,1500,5,0,0,7099,Male,67,Senior
350,66863,0,4,1,1,36532,9,0,0,7099,Male,48,Adult
351,93045,0,3,1,1,17636,15,0,0,7092,Female,21,Young
352,197328,0,5,1,1,60447,12,0,0,7092,Male,38,Adult
353,151301,0,4,1,1,37772,14,0,0,7092,Male,78,Senior
354,87938,0,1,1,1,11268,2,0,0,7085,Female,55,Senior
355,15283,0,1,1,1,1250,3,0,0,7132,Female,70,Senior
356,105423,0,3,1,1,20802,14,0,0,7078,Male,28,Young
357,312512,0,1,1,1,100,1,100,1,7078,Female,25,Young
358,13680,0,1,1,1,0,0,0,0,7073,Female,53,Senior
359,41279,0,3,1,1,14462,20,1650,6,7064,Female,59,Senior
360,25313,0,2,1,1,7491,13,0,0,7064,Female,56,Senior
361,148691,0,1,1,1,3000,3,1000,2,7064,Male,71,Senior
362,224081,0,4,1,1,40108,15,150,2,7059,Male,24,Young
363,51088,0,1,1,1,0,0,0,0,7057,Male,25,Young
364,95305,0,1,1,1,3189,13,0,0,7054,Female,50,Adult
365,22080,0,1,1,1,12200,47,1950,9,7050,Male,62,Senior
366,11660,0,1,1,1,140,1,0,0,7050,Female,71,Senior
367,222227,0,4,1,1,38127,14,500,1,7047,Male,23,Young
368,16200,0,1,1,1,160,1,0,0,7043,Male,20,Young
369,38227,0,2,1,1,8612,13,0,0,7036,Female,73,Senior
370,80214,0,1,1,1,500,1,500,1,7029,Male,32,Adult
371,53985,0,1,1,1,1000,1,0,0,7029,Male,22,Young
372,14414,0,1,1,1,0,0,0,0,7024,Male,41,Adult
373,44457,0,1,1,1,225,3,0,0,7026,Female,32,Adult
374,161813,0,5,1,1,126941,20,0,0,7026,Male,56,Senior
375,138020,0,1,1,1,6568,15,0,0,7024,Female,27,Young
376,107707,0,3,1,1,19407,25,2211,12,7024,Female,74,Senior
377,95656,0,5,1,1,62666,27,0,0,7019,Female,40,Adult
378,149678,0,1,1,1,0,0,0,0,7022,Female,77,Senior
379,15113,0,2,1,1,10574,19,0,0,7017,Male,43,Adult
380,231,0,1,1,1,29900,24,5300,15,7015,Male,45,Adult
381,22380,0,1,1,1,300,2,200,1,7010,Female,42,Adult
382,146263,0,3,1,1,20853,21,350,1,7001,Male,50,Adult
383,24598,0,1,1,1,0,0,0,0,7040,Female,75,Senior
384,76150,0,4,1,1,36907,17,0,0,6998,Female,42,Adult
385,377252,0,5,1,1,230629,30,6393,13,6996,Female,64,Senior
386,167670,0,1,3,1,15907,13,0,0,6994,Male,38,Adult
387,86853,0,4,1,1,42293,21,500,1,6980,Female,49,Adult
388,479989,0,4,1,1,66516,26,1600,6,6980,Male,35,Adult
389,28193,0,5,1,4,103456,32,0,0,6980,Female,22,Young
390,67086,0,3,1,1,18157,16,0,0,6974,Female,29,Young
391,35969,0,2,1,1,11665,21,0,0,6977,Female,27,Young
393,53790,0,4,1,1,28717,19,0,0,8296,Male,26,Young
394,198859,0,3,1,1,17855,14,500,1,8296,Male,44,Adult
395,91939,0,1,1,1,1244,8,0,0,8296,Male,79,Senior
396,88449,0,2,1,1,11402,18,1450,5,8296,Female,23,Young
397,54842,0,3,1,1,20792,15,0,0,8296,Male,58,Senior
398,11189,0,1,2,1,9044,20,0,0,8296,Male,54,Senior
399,16999,0,1,1,1,140,1,0,0,8296,Male,59,Senior
400,114713,0,1,1,1,7142,18,0,0,8296,Male,66,Senior
401,1612,0,1,1,1,955,9,0,0,8296,Female,40,Adult
402,97763,0,1,1,1,2000,9,0,0,8296,Female,47,Adult
403,15129,0,1,1,1,0,0,0,0,8296,Female,32,Adult
404,15669,0,1,1,1,1205,4,0,0,8296,Female,32,Adult
405,26720,0,1,1,1,913,3,0,0,8296,Male,49,Adult
406,205292,0,2,1,1,5471,13,0,0,8296,Male,37,Adult
407,56635,0,1,1,1,1024,8,359,2,8296,Female,29,Young
408,127297,0,2,1,1,8510,12,0,0,8296,Male,76,Senior
409,8927,0,1,1,1,0,0,0,0,8296,Female,71,Senior
410,507506,1952,5,1,1,102279,32,4485,13,8296,Male,77,Senior
411,145723,0,5,1,1,59858,16,0,0,8296,Female,32,Adult
412,6458,0,1,1,1,0,0,0,0,8296,Male,21,Young
413,267640,0,1,1,1,6000,3,0,0,8296,Female,20,Young
